lon,lat
-73.90584249999999,40.8380595
-73.9221469,40.6562308
-73.9050496,40.6889405
-73.9398583,40.5895644
-73.9346386,40.7030124
-73.9437629,40.8044257
-73.9436236,40.8152857
-73.86799409999999,40.82711949999999
-73.9370656,40.8489395
-73.92542550000002,40.8251361
-73.891427,40.8658092
-73.9903977,40.5763051
-73.9946327,40.6929835
-73.95887390000001,40.7681295
-73.9087549,40.8764756
-73.9239599,40.862277
-73.92484320000001,40.8464892
-73.93112049999999,40.7442521
-73.9374429,40.5969295
-73.9139872,40.8454366
-73.9274121,40.8183248
-73.9182821,40.6863609
-73.8826891,40.8718566
-73.9234558,40.6751053
-73.9060434,40.6703961
-74.00339129999999,40.7121555
-73.9197883,40.6367237
-73.9355649,40.80692620000001
-73.8629371,40.8781066
-73.94543929999999,40.8077619
-73.9068801,40.6685227
-73.94453530000001,40.6421378
-73.956223,40.653446
-73.8281007,40.89015819999999
-73.8247353,40.8226332
-73.91912649999999,40.8081007
-73.93754349999999,40.845266
-73.917901,40.84917
NA,NA
-74.1321427,40.6085684
-74.01387679999999,40.65545609999999
-73.88079929999999,40.85684029999999
-73.8648268,40.8447819
-73.926119,40.8366249
-73.9211138,40.6867786
-73.9129131,40.8554742
-73.89303749999999,40.8649467
-73.9073691,40.8770519
-73.9453588,40.81573059999999
-73.9039702,40.8560025
-73.9031167,40.8302802
-73.94542469999999,40.833478
-73.879465,40.827138
-73.9268659,40.8378687
-73.9185071,40.8197591
-73.874268,40.7442939
-73.9055829,40.8557859
-73.98412739999999,40.5907914
-73.9822454,40.59327150000001
-73.9346386,40.7030124
-74.0831936,40.62245220000001
-73.89578949999999,40.85973509999999
-73.92512250000001,40.65944880000001
NA,NA
-73.9198576,40.648374
-73.8790336,40.6744124
-73.870375,40.832405
-74.07745899999999,40.6446525
-73.9809197,40.7578742
-73.9099686,40.8339947
-73.9276309,40.8377376
-74.0018448,40.5773643
-74.2376724,40.5366554
-73.9149935,40.8080218
-73.9082904,40.8518108
-73.867277,40.755323
-73.9151727,40.8406372
-73.9519402,40.6391406
-73.98748379999999,40.7736408
-73.9171506,40.8105913
-73.93682129999999,40.7598718
-73.90964439999999,40.83714459999999
-73.9109517,40.8409738
-73.7948516,40.7282239
-73.8545412,40.8738095
-73.857579,40.898415
-74.1478286,40.5609475
-74.0813122,40.6183176
-73.8919816,40.6663733
-73.93115999999999,40.6522092
-73.92580099999999,40.8279249
-73.94950639999999,40.6470686
-73.9868053,40.6791001
-73.8925272,40.6455997
-74.1725656,40.6161748
-73.9841474,40.5790005
-73.8341757,40.8851423
-73.9582698,40.8023039
-74.1610396,40.6269226
-73.8912122,40.6677415
-73.95988129999999,40.8036628
-73.9162152,40.6940709
NA,NA
-73.9154758,40.6976751
NA,NA
-73.88590239999999,40.81503
-73.9738863,40.69439879999999
-73.9358823,40.6630381
-73.9191831,40.8461086
-73.942804,40.7941401
-73.8970349,40.8619741
-73.941813,40.6960029
-73.88601,40.79312770000001
-73.9589228,40.690268
-73.91641790000001,40.83897049999999
-73.9996513,40.5764316
NA,NA
-73.98900929999999,40.5761548
-73.9085674,40.8504416
-73.9278437,40.8292979
-73.954583,40.8047212
-73.95896599999999,40.637394
-73.94482239999999,40.81448899999999
-73.88613269999999,40.8276265
-73.8257296,40.71264
-74.01426699999999,40.6403946
-73.9372626,40.622984
-73.9810057,40.6103922
-73.95949399999999,40.6528762
-73.85461,40.8876024
-73.8654258,40.8754101
-73.91156590000001,40.83532
-74.0834804,40.6143761
-73.8852074,40.8180369
NA,NA
-73.96772519999999,40.7628561
-73.93979379999999,40.7058314
-73.9213721,40.6655034
-73.8930549,40.8225494
-73.889148,40.8172939
-73.8648268,40.8447819
-73.9151727,40.8406372
-73.9278533,40.8240401
-74.01426699999999,40.6403946
-73.9159505,40.8395644
-73.81717809999999,40.8193191
-73.95331999999999,40.6815268
-73.9035554,40.8350193
-73.95949399999999,40.6528762
-73.8426391,40.8694272
-73.88950299999999,40.826226
-73.8648268,40.8447819
-73.93597059999999,40.6523238
-73.8001883,40.7033226
-73.9057296,40.83296259999999
-73.902836,40.85853789999999
-73.8622805,40.7499212
-74.0059728,40.7127753
-73.8029629,40.6899966
-73.9189434,40.8172968
-74.08882,40.643928
-73.9080122,40.846179
-73.87857439999999,40.84422199999999
-73.917714899999993,40.8206448
-74.1312729,40.640526
-73.83228179999999,40.7609741
-74.00189170000002,40.71211479999999
